DATE,HS
2021-9-13, 108
2021-9-15, 113
2021-9-16, 150
2021-9-17, 169
2021-9-18, 179
2021-9-20, 220
2021-9-21, 230
2021-9-22, 290
2021-9-23, 316
2021-9-26, 330
2021-9-28, 370
2021-9-29, 381
2021-9-30, 383
2021-10-1, 408
2021-10-4, 438
2021-10-6, 480
2021-10-7, 500
2021-10-9, 516
2021-10-11, 533
2021-10-12, 538
2021-10-13, 562
2021-10-14, 584
2021-10-15, 586
2021-10-16, 600
2021-10-18, 619
2021-10-19, 626
2021-10-20, 649
2021-10-21, 652
2021-10-22, 658
2021-10-23, 673
2021-10-25, 674
2021-10-26, 697
2021-10-27, 706
2021-10-28, 715
2021-10-29, 719
2021-10-30, 733
2021-11-1, 742
2021-11-2, 771
2021-11-3, 795
2021-11-4, 798
2021-11-5, 805
2021-11-7, 809
2021-11-9, 823
2021-11-10, 832
2021-11-11, 840
2021-11-12, 849
2021-11-17, 860
2021-11-19, 865
2021-11-23, 873
2021-11-29, 892
2021-12-3, 929
2021-12-6, 934
2021-12-7, 946
2021-12-8, 959
2021-12-9, 972
2021-12-10, 981
2021-12-14, 1002
2021-12-17, 1039
2021-12-20, 1040
2021-12-21, 1060
2021-12-28, 1078
2022-1-1, 1100
2022-1-8, 1110
2022-1-15, 1130
2022-1-17, 1140
2022-1-21, 1160
2022-1-26, 1180
2022-1-28, 1190
2022-1-31, 1200
2022-2-5, 1220
2022-2-9, 1230
2022-2-16, 1250
2022-2-25, 1270
2022-2-25, 1281
2022-3-5, 1295
2022-3-11, 1300
2022-3-17, 1310
2022-3-22, 1320
2022-3-24, 1340
2022-3-25, 1352
2022-3-28, 1365
2022-3-29, 1375
2022-3-31, 1380
2022-4-4, 1410
2022-4-8, 1462
2022-4-19, 1489
2022-4-21, 1500
2022-4-27, 1510
2022-5-2, 1526
2022-5-6, 1530
2022-5-9, 1545
2022-5-12, 1555
2022-5-17, 1560
2022-5-19, 1574
2022-5-23, 1580
2022-5-24, 1587
2022-5-31, 1604
2022-6-10, 1620
2022-6-14, 1630
2022-6-16, 1643
2022-6-17, 1645
2022-6-23, 1652
2022-6-24, 1656
2022-6-28, 1662
2022-7-1, 1667
2022-7-12, 1714
2022-7-13, 1724
2022-7-14, 1734
2022-7-20, 1746
2022-7-21, 1750
2022-7-26, 1760
2022-7-29, 1802
2022-8-5, 1807
2022-8-9, 1820
2022-8-10, 1840
2022-8-11, 1851
2022-8-15, 1860
2022-8-16, 1877
2022-8-17, 1890
2022-8-18, 1900
2022-8-21, 1910
2022-8-22, 1921
2022-8-24, 1923
2022-8-26, 1931
2022-8-29, 1936
2022-8-30, 1937
2022-9-1, 1941
2022-9-8, 1950
2022-9-13, 1956
2022-9-21, 1966
2022-9-26, 1971
2022-9-27, 1972
2022-10-4, 1978
2022-10-5, 1980
2022-10-10, 1986
2022-10-18, 1991
2022-10-20, 1994
2022-10-24, 1990
2022-10-31, 2004
2022-11-04, 2012
2022-11-08, 2015
2022-11-14, 2021
2022-11-17, 2025
2022-11-18, 2027
2022-11-30, 2037
